topic_id	is_end	followers
19552300	tryagain	
19556677	1	19982
19641078	0	105
19553553	0	277
19566930	1	2712
19572177	0	170
19564032	1	508
19728460	1	39
19560566	1	11980
19794875	0	19
19552739	tryagain	
19841155	tryagain	
19724881	tryagain	
20009363	tryagain	
19956180	1	8101
19558415	1	52102
19838499	1	1003
19561871	1	1076
19668794	0	4400
19676612	tryagain	
19689260	0	1899
19705436	0	454
19578611	0	825
19667304	0	57
19881396	0	1780
19630463	0	70
19591112	1	12991
19738196	1	5494
19577583	1	38762
19674438	tryagain	
20018187	0	114
19629947	0	522
19563866	0	393
19629946	1	7329
19652163	1	2679
19587372	1	3989
19622648	1	3981
19676237	1	181
19578731	0	5946
19736776	tryagain	
20000981	0	51
20035738	0	6
19562112	0	773
19889369	0	14
19733787	1	284
19624459	1	1335
19616758	1	136
20003153	0	502
19564641	1	12518
19687636	tryagain	
19855656	0	23
20003454	0	3
19770833	1	59
19681832	1	4085
19552192	1	4735377
19896843	0	35
19722928	0	14
19564606	1	56792
19665307	0	2220
20035977	0	9
20034092	0	133
20037392	0	1326
19555619	1	18021
19561746	1	4635
20035987	0	74
20013233	1	27197
20033839	0	2126
19658355	1	4814
19768136	0	2993
20037671	0	3
19744641	0	58
19661202	tryagain	
20007888	0	32
19847437	0	394
19808747	1	115
19567582	1	2600
19604938	1	194
19563819	1	3137
20006780	0	6043
19610159	tryagain	
19790955	tryagain	
20001915	tryagain	
19594216	tryagain	
19550994	tryagain	
20028571	1	51
19585906	1	1589
19824739	1	119
19550564	1	1939265
19554706	1	47800
19681321	tryagain	
19667687	0	16
19896743	0	526
19613356	0	60
19687043	0	328
19661397	0	50
20012194	0	1122
19572661	0	32
19584534	0	1598
19686051	0	234
19837676	tryagain	
19650675	0	44
19732439	1	92
19586292	0	23
19607871	1	789
19570778	0	498
19591253	0	2025
19560281	1	45447
19891774	0	484
19567404	0	656
19595819	tryagain	
19822791	tryagain	
19728596	0	69
19614743	0	60
19621310	0	396
20018880	0	245
19685083	0	579
19743268	0	935
19869178	1	148
19633297	1	1146
19855722	tryagain	
19687749	tryagain	
19891104	0	55
19826548	0	702
20032312	0	306
19598242	0	608
19704857	0	1329
20036400	0	45
19649182	0	30
19668747	tryagain	
20003169	tryagain	
19606965	1	5753
20015238	0	251
19611716	1	223
20013723	1	257
19565673	1	53
19563941	1	1711
19752638	tryagain	
20039033	tryagain	
19593469	1	19
20014314	0	52
19584569	1	102
19691224	0	3731
19822754	1	935
19559711	1	14308
20013718	1	988
19557041	1	34999
20025695	tryagain	
19591273	tryagain	
19579709	1	1998
19574310	0	244
19855012	0	52
19559713	0	965
20014976	1	167
19605965	1	569
19566360	0	2063
19567445	1	10856
19725491	0	56
19725962	1	9
20020050	0	16
19612907	1	350
20017079	0	21
19937317	0	40
19576627	0	5407
19559044	0	811
19744376	1	602
19603916	0	104
19999802	0	6
19891733	0	38
19723812	0	473
20029886	0	13
19914855	0	47
19803555	0	267
19756225	0	185
19648342	1	1504
19684275	1	2234
19668991	1	884
19663771	0	20
19958866	0	44
19667317	tryagain	
19558263	1	2958
19610792	0	775
19887396	0	38
19612166	1	981
19615615	1	21365
19604560	0	38
19730498	0	56
19567326	tryagain	
19672220	tryagain	
19563516	tryagain	
19650544	0	10
19605284	0	424
19636471	0	648
20017056	1	31
19744685	1	1994
19565537	1	13146
19555554	1	7989
19575472	tryagain	
20033917	0	6
19696652	1	23
19916672	0	160
19586071	0	152
19622557	0	450
19922196	0	147
19562325	1	144
19553181	1	6947
19596900	0	176
19591659	tryagain	
19551584	tryagain	
19610621	tryagain	
19950550	1	4404
19582339	1	2108
19554010	1	389
19575990	1	1280
19577170	1	2988
19755914	1	892
19562798	1	7006
19585787	0	445
19856971	0	219
19684571	1	57194
19583090	1	8230
19556537	1	16450
19684847	1	39
19554046	1	1368
19651260	0	21019
19560044	0	449
19645023	1	105692
19967413	0	37
19572103	tryagain	
19898560	0	110
19565953	0	4792
19615764	1	6316
19556957	1	648
19623022	1	374
19650466	0	31464
19966000	0	9569
19653307	0	14491
19578461	1	718
19685577	0	3146
19552234	1	52822
19578644	1	6467
19565614	1	11808
19569170	1	555
19649098	0	1234
19819066	tryagain	
19966848	0	15
19675944	0	267
19604813	0	566
19883042	0	311
19632552	0	4414
19561574	1	41200
19649725	0	217
19610790	0	3528
19570405	0	3019
19669498	1	381
19761905	0	580
19666541	0	296
19552079	1	141589
19563843	1	2288
19770635	1	1389
20006923	1	6827
19560329	1	51402
19823916	0	1146
19563240	0	22560
19649766	tryagain	
19550774	tryagain	
19663797	0	91
19966921	0	146
20005961	1	1990
19634473	1	20324
19602416	0	370
19591008	0	1867
19550905	1	11873
19633667	0	4887
19584383	tryagain	
19646680	tryagain	
19663004	0	475
19572953	tryagain	
20042479	0	14
19562081	0	2346
19851663	0	376
19645367	1	873
19607022	0	311
19576951	1	66625
19630631	0	21
19771791	0	1121
19587814	0	74
19624573	0	45
19762083	0	35
19582002	0	4208
19909711	0	12672
19560960	0	4447
19572310	1	59325
19674721	0	539
19557127	tryagain	
19562502	tryagain	
19837670	tryagain	
19901974	tryagain	
19895443	tryagain	
19799536	1	13
19900873	0	17588
19926142	0	197
19554055	1	2984
19594694	1	681
19571159	tryagain	
20019016	0	75
19873821	0	115
19553848	0	17167
19554475	0	4352
19699517	1	24193
19967093	0	97
19891718	1	770
19553833	0	1119
19602896	0	937
19890192	tryagain	
19900807	0	98
19814939	0	139
19648474	0	1929
19644440	1	558
19630253	1	111252
19685965	0	844
19721128	1	126
19598285	1	414
19582373	1	1616
19564412	tryagain	
19585064	tryagain	
19569660	tryagain	
19643956	1	1220
19691659	1	129605
19584686	1	4477
19727700	0	900
19632890	0	1536
19674624	1	209
19564399	1	1035
19628765	0	123
19885395	0	208
20023420	0	68
19554883	1	1573
19591993	1	1544
20010619	1	19
19711591	1	5881
19580517	1	279
19898627	1	339
19554975	1	456
19553939	tryagain	
19675691	0	371
19843403	0	59
20007637	0	117
19849027	1	54
19610531	1	141
20005302	1	674
19779972	1	37
19599609	1	4488
19628352	0	87
20040015	0	153
20033178	0	65
19601725	0	231
19552220	1	47217
19730150	0	250
19550429	1	6761498
19552297	0	4887
19637375	0	567
19799091	0	14929
19553176	1	2824292
19588764	tryagain	
19594045	tryagain	
19774695	tryagain	
19690479	0	84
19551683	1	96571
19614374	1	275
19822495	0	945
19602806	0	135
19578146	1	1197
19834208	1	110
19642960	tryagain	
19579091	0	191
19902830	0	340
20038469	0	27
19597435	1	100
19729103	1	597
19624966	0	1017
19574312	1	1415
19599479	1	91826
19651678	1	9489
19654502	tryagain	
19554494	tryagain	
19936177	0	2
19626022	1	1996
19668516	1	49
19551243	1	2432
19558842	1	8797
19550874	1	2066853
19565478	1	553
19603922	1	128
19580745	tryagain	
19623175	tryagain	
19792284	0	48
19798048	0	180
19669150	1	14
19551424	1	122394
19584346	0	1388
19563554	0	393
19604890	1	58824
19631591	1	2643
19772004	tryagain	
20025757	0	44
19577306	0	172
19597258	1	479
19848464	0	27
19568532	0	3640
19557299	1	12724
19661024	0	30
19563665	1	1592
19858426	0	149
19833442	tryagain	
19788124	tryagain	
20033508	0	4
19606391	0	110
20004132	0	532
19705680	0	38
19597341	1	3754
19555577	1	5903
19690000	0	402
19563356	1	2461
19663094	tryagain	
19556238	0	608
19575224	0	45
19797819	1	64
19573243	0	37
19575225	0	95
19617646	0	43
19654800	1	338
19672630	1	52
20005305	0	12800
19663952	tryagain	
19850944	0	327
19803080	0	41
19559892	0	752
19793021	0	57
20020489	0	9
19628231	0	35
20008601	1	707
19615602	0	77
19598934	0	101
19840594	0	238
19847677	0	219
20021953	0	2
20007511	0	0
19576857	0	168
19588499	0	26
19637115	0	6382
19576845	0	420
19699734	1	3192
19593693	0	317
20004367	tryagain	
19551496	tryagain	
20027650	0	23
19846487	0	341
20027654	0	20
19665577	1	826
19560080	1	3935
19664208	0	769
19615596	0	276
19571370	1	1016
19850097	0	124
19592292	0	21
19559343	tryagain	
19721164	0	17
19670639	0	9
19591971	1	254
19726853	0	663
19672552	0	1135
19554057	0	1175
19575618	1	339
19656586	tryagain	
20011055	0	40
19906360	0	64
19885620	1	284
19674115	0	146
19561556	1	4556
19565908	1	3113
19580083	1	29
19671688	1	54
19870425	0	144
19936528	1	45
20010307	0	5
19689389	0	24
20018793	0	27
19565142	1	10210
19599362	1	1009
19859037	1	707
19578904	0	341
20016269	1	94
19645092	0	275
19620385	tryagain	
19595181	tryagain	
19636008	0	76
19553066	0	997
19757118	1	237
19610387	0	82
20020206	0	9
19673176	1	147
19603322	1	748
19600258	1	218
19800115	0	43
19744837	0	92
19578948	1	78
19590962	0	848
19846376	0	39
19606290	1	99
19812156	0	235
19877359	1	1076
19612705	1	6215
19592892	0	1362
19603085	tryagain	
19556074	1	31832
19590581	tryagain	
19552488	tryagain	
19626005	tryagain	
19675090	1	13
19594596	0	1168
20015242	1	77
20007753	0	47
19561476	tryagain	
19639460	1	608
19871483	0	577
19550747	1	8972
19557084	1	70712
19942961	0	180
19605894	1	1104
19613600	0	1737
19657991	0	840
19904390	tryagain	
19569659	tryagain	
19642377	0	16
20020936	0	82
19649675	0	206
19888731	0	178
19584134	0	475
19879641	0	5000
20020116	1	573
19612081	1	2584
20013952	0	2
19906970	0	40
20010318	0	1
20012988	0	6
19591082	0	608
19552024	1	2183
20014933	1	136
19550795	1	600
19706244	0	316
19809357	0	995
19559622	tryagain	
19888909	0	354
19560296	1	5715
19730675	0	128
19564495	1	184
19588696	0	1054
19877836	0	55
19677619	0	80
19583282	1	957
19642924	0	1443
19593026	tryagain	
19962565	0	35
19656196	0	77
19573633	1	704
19680413	1	34
19577089	1	137
19562293	0	107
19632330	1	329
19553740	1	14972
19726467	1	330
19571066	0	573
19577425	1	2090
19635634	1	41
19582333	1	594
19551675	1	4430
20002609	1	55
19555547	1	79744
19553029	0	228
19560767	1	5960
19566046	1	283
19586289	tryagain	
19626182	tryagain	
19711522	0	2
19806728	1	496
19641683	1	2400
19554625	0	1297
19556395	1	2209
19551625	1	67997
19559418	0	2259
19575673	1	908
19900425	tryagain	
19598656	0	54
20010134	0	2
19904311	0	0
19637793	1	2950
19619498	1	14
19673137	0	13
19653873	0	154
19636373	0	454
19578328	0	91
19604017	1	54
19658625	0	38
19621035	0	13
19818401	0	36
19794739	0	613
19934491	1	202
19583094	1	70
19601861	1	1499
19829193	0	548
19609907	tryagain	
19662207	0	95
19622429	0	20
19762703	1	13
19552243	1	5690
19662749	1	122
19702661	0	129
19595080	0	1882
19661259	0	76
19581869	1	295
19618311	1	206
20009936	0	7
19584010	1	2283
19761054	1	180
19552247	1	1726
19855534	1	360
19658958	1	570
19578515	1	313
19565706	1	1827
19658653	1	93
19655275	tryagain	
19622442	0	37
19868249	0	135
19670171	1	202
19910018	0	13
19889495	1	46
19622438	0	40
19551304	1	9347
19911862	1	404
19622359	1	59
19567899	tryagain	
19821827	0	7
20037775	0	0
20037675	0	2
20024324	0	17
19609119	0	38
19625288	0	6
19659987	1	50
19616650	1	19470
19643723	1	483
19743201	tryagain	
19645242	0	14
19863719	1	202
19587245	0	11
19668321	1	162
20024325	0	24
19621262	1	165
19889533	1	133
19606036	1	87
19834599	0	225
19655482	tryagain	
19557333	tryagain	
19596652	0	22
20000580	0	0
19590332	0	136
19755157	0	4
19601844	1	255
19727854	0	39
19565523	1	215
19582502	1	327
19606998	tryagain	
19608069	tryagain	
19588285	1	962
19558005	1	2889
19553262	1	564
19934896	1	11
19568177	1	3031
19563813	1	679
19559687	1	11056
19601383	0	255
19567772	tryagain	
19666413	tryagain	
19583155	tryagain	
19639670	tryagain	
19587369	1	58
19644400	0	124
19554834	1	37379
19554936	1	24255
19562122	1	2900
19649359	1	230
19769341	tryagain	
19651230	tryagain	
19665372	1	620
19567131	0	531
19647959	1	6033
19674553	0	20
19677828	0	292
19554557	1	8622
19594846	1	1025
19670157	1	360
19668210	0	64
19686304	tryagain	
19771253	tryagain	
19639758	0	343
19860710	0	30
19734298	0	8
19672733	1	62
19825578	0	273
19580750	1	64290
19572991	1	1443
19737214	1	21
19603027	0	179
20024771	0	0
19616469	1	2385
19648499	1	371
19609187	1	4
19595758	0	1534
19561123	0	1801
19726033	1	61
19553766	1	2481
19700172	tryagain	
19668618	tryagain	
19623779	0	35
19768879	0	56
19663611	0	50
19552699	0	60
19676313	0	14
19837344	0	75
19875024	0	32
19599498	1	912
19805468	tryagain	
19598957	tryagain	
20015250	0	20
19682656	0	81
20023532	0	14
19643290	0	71
19670004	0	376
19736524	0	84
19837536	0	92
19675545	0	152
20013679	tryagain	
20045901	0	4
19696455	0	181
19564990	1	485
19840002	1	222
19920082	0	1349
19796082	0	233
19568809	1	35
19672808	0	588
19655134	1	24
19692899	tryagain	
19589392	0	16
19739315	0	246
19573288	1	11
19790553	0	42
19668886	1	1389
19623938	0	524
19736731	0	52
19632927	1	11944
19666053	0	1122
19930538	0	113
19787097	1	33
19764227	0	157
19824168	0	90
20031264	0	70
19755953	1	138
19875619	1	1541
19646902	1	2812
19788398	1	677
19801060	0	703
20012611	0	31
19886911	0	381
19667696	1	2811
19670266	1	8111
19705011	1	1160
19675907	1	7062
19696176	0	1208
19946658	1	347
19710311	1	692
19696703	1	525
19674692	0	75
19573169	1	6273
19672149	1	3292
19570423	0	775
19627498	1	2901
19686447	1	500
19587257	1	17929
19597798	1	438
19586285	1	5147
19636557	1	448
19692276	tryagain	
19732820	0	103
20014120	0	89
19650597	1	93
19784877	0	32
19596237	1	1376
19574232	1	11922
19588167	1	6813
19934135	0	156
19706847	1	85
19923288	0	73
19830572	0	8
19968122	0	96
19638950	1	4339
19901018	1	142
19578592	0	195
19610023	1	20766
19674138	0	120
19658232	0	901
19645029	1	458
19682139	tryagain	
19612495	tryagain	
20018332	0	58
19663283	0	19
19633583	1	75
19689013	0	271
19841201	0	90
19697041	1	2681
19672376	1	321
19620037	1	608
20019924	tryagain	
19599822	tryagain	
19626868	tryagain	
19695330	0	481
19834365	0	44
19602739	1	458
19557056	1	3979
19625588	1	327
19607129	1	292
19692011	0	4549
19555457	tryagain	
19594955	0	18
19672832	tryagain	
19606696	1	4143
19697869	1	306
19555849	0	44
19844585	1	1319
19606598	0	156
19551086	1	47734
19570022	1	14178
19676851	0	30
19578437	tryagain	
19724295	0	183
19573130	1	1192
19725469	1	1652
19848704	1	586
19617072	1	20026
19579092	1	408
19583537	1	32562
19578382	1	42875
19581096	tryagain	
19596840	tryagain	
19648848	0	81
19874256	1	68
